segment, dv oetering, dv wilkins
LEO-GTO, 2500,
LEO-GEO, 4330,
LEO_L1_DeltaV, 3770,
LEO_LLO_DeltaV, 4040,
GTO_GEO_DeltaV, 1830,
GTO_L1_DeltaV, 1270,
GTO_LLO_DeltaV, 1540,
GEO_L1_DeltaV, 1400,
GEO_LLO_DeltaV, 2000,
L1_LLO_DeltaV, 600,
L1_Landing_DeltaV, 2520,
LLO_Landing_DeltaV, 2000,
Lunar Surface_LLO_DeltaV, 2000,
Lunar Surface_L1_DeltaV, 2520,
LLO_L1_DeltaV, 600,
LLO_LEO_Brake_DeltaV, 875,
L1_LEO_Brake_DeltaV, 770,
L1_GTO_Brake_DeltaV, 500,
EP_LEO_GEO_DeltaV, 6000,
EP_LEO_L1_DeltaV, 7000,
EP_L1_LLO_DeltaV, 800,
